Year,geoId,County,Population,Median_Age,Unemployment,Income,Crimes
1980,geoId/06001,Alameda County,1105379,nan,nan,nan,nan
1981,geoId/06001,Alameda County,1125950,nan,nan,nan,nan
1982,geoId/06001,Alameda County,1140269,nan,nan,nan,nan
1983,geoId/06001,Alameda County,1160694,nan,nan,nan,nan
1984,geoId/06001,Alameda County,1179132,nan,nan,nan,nan
1985,geoId/06001,Alameda County,1197401,nan,nan,nan,nan
1986,geoId/06001,Alameda County,1215506,nan,nan,nan,nan
1987,geoId/06001,Alameda County,1229319,nan,nan,nan,nan
1988,geoId/06001,Alameda County,1251100,nan,nan,nan,nan
1989,geoId/06001,Alameda County,1271443,nan,nan,nan,nan
1990,geoId/06001,Alameda County,1305802,nan,4,nan,nan
1991,geoId/06001,Alameda County,1315144,nan,5.5,nan,nan
1992,geoId/06001,Alameda County,1328589,nan,6.6,nan,nan
1993,geoId/06001,Alameda County,1334736,nan,6.7,nan,nan
1994,geoId/06001,Alameda County,1336359,nan,6.2,nan,nan
1995,geoId/06001,Alameda County,1340267,nan,5.7,nan,nan
1996,geoId/06001,Alameda County,1351804,nan,5.1,nan,nan
1997,geoId/06001,Alameda County,1372202,nan,4.5,nan,nan
1998,geoId/06001,Alameda County,1397050,nan,4.1,nan,nan
1999,geoId/06001,Alameda County,1415582,nan,3.5,nan,nan
2000,geoId/06001,Alameda County,1450086,nan,3.6,nan,nan
2001,geoId/06001,Alameda County,1469963,nan,4.8,nan,nan
2002,geoId/06001,Alameda County,1462884,nan,6.8,nan,nan
2003,geoId/06001,Alameda County,1455088,nan,6.9,nan,nan
2004,geoId/06001,Alameda County,1446681,nan,5.9,nan,nan
2005,geoId/06001,Alameda County,1442383,nan,5.1,nan,nan
2006,geoId/06001,Alameda County,1444546,nan,4.4,nan,nan
2007,geoId/06001,Alameda County,1455244,nan,4.7,nan,nan
2008,geoId/06001,Alameda County,1476219,nan,6.2,nan,nan
2009,geoId/06001,Alameda County,1497060,nan,10.7,nan,nan
2010,geoId/06001,Alameda County,1513043,nan,11.2,nan,nan
2011,geoId/06001,Alameda County,1530915,36.4,10.3,70821,nan
2012,geoId/06001,Alameda County,1553764,36.6,8.8,71516,nan
2013,geoId/06001,Alameda County,1579593,36.8,7.3,72112,nan
2014,geoId/06001,Alameda County,1607792,36.9,5.9,73775,nan
2015,geoId/06001,Alameda County,1634538,37.1,4.8,75619,nan
2016,geoId/06001,Alameda County,1650950,37.2,4.3,79831,nan
2017,geoId/06001,Alameda County,1660196,37.3,3.7,85743,nan
2018,geoId/06001,Alameda County,1666756,37.4,3.1,92574,nan
2019,geoId/06001,Alameda County,1671329,37.6,3,99406,nan
1980,geoId/06003,Alpine County,1097,nan,nan,nan,nan
1981,geoId/06003,Alpine County,1131,nan,nan,nan,nan
1982,geoId/06003,Alpine County,1145,nan,nan,nan,nan
1983,geoId/06003,Alpine County,1119,nan,nan,nan,nan
1984,geoId/06003,Alpine County,1092,nan,nan,nan,nan
1985,geoId/06003,Alpine County,1156,nan,nan,nan,nan
1986,geoId/06003,Alpine County,1197,nan,nan,nan,nan
1987,geoId/06003,Alpine County,1141,nan,nan,nan,nan
1988,geoId/06003,Alpine County,1162,nan,nan,nan,nan
1989,geoId/06003,Alpine County,1161,nan,nan,nan,nan
1990,geoId/06003,Alpine County,1106,nan,9.6,nan,nan
1991,geoId/06003,Alpine County,1158,nan,13.4,nan,nan
1992,geoId/06003,Alpine County,1147,nan,16.7,nan,nan
1993,geoId/06003,Alpine County,1185,nan,13.1,nan,nan
1994,geoId/06003,Alpine County,1184,nan,10.3,nan,nan
1995,geoId/06003,Alpine County,1227,nan,10.5,nan,nan
1996,geoId/06003,Alpine County,1239,nan,10.1,nan,nan
1997,geoId/06003,Alpine County,1212,nan,9.5,nan,nan
1998,geoId/06003,Alpine County,1192,nan,9.7,nan,nan
1999,geoId/06003,Alpine County,1161,nan,9.3,nan,nan
2000,geoId/06003,Alpine County,1203,nan,6.3,nan,nan
2001,geoId/06003,Alpine County,1174,nan,7.3,nan,nan
2002,geoId/06003,Alpine County,1198,nan,7.6,nan,nan
2003,geoId/06003,Alpine County,1177,nan,8.5,nan,nan
2004,geoId/06003,Alpine County,1189,nan,8.1,nan,nan
2005,geoId/06003,Alpine County,1131,nan,8,nan,nan
2006,geoId/06003,Alpine County,1167,nan,6.4,nan,nan
2007,geoId/06003,Alpine County,1149,nan,7.9,nan,nan
2008,geoId/06003,Alpine County,1068,nan,10.5,nan,nan
2009,geoId/06003,Alpine County,1048,nan,14.7,nan,nan
2010,geoId/06003,Alpine County,1161,nan,13.1,nan,nan
2011,geoId/06003,Alpine County,1093,40.4,12.9,59018,nan
2012,geoId/06003,Alpine County,1110,43.2,11.2,59931,nan
2013,geoId/06003,Alpine County,1127,44.3,9.8,58636,nan
2014,geoId/06003,Alpine County,1082,43.6,8.3,61343,nan
2015,geoId/06003,Alpine County,1087,43.6,7.5,52917,nan
2016,geoId/06003,Alpine County,1057,42.8,6.5,62375,nan
2017,geoId/06003,Alpine County,1121,44.9,6.2,63438,nan
2018,geoId/06003,Alpine County,1101,44.3,4.6,64688,nan
2019,geoId/06003,Alpine County,1039,52.2,5.4,63750,nan
1980,geoId/06005,Amador County,19314,nan,nan,nan,nan
1981,geoId/06005,Amador County,20205,nan,nan,nan,nan
1982,geoId/06005,Amador County,20605,nan,nan,nan,nan
1983,geoId/06005,Amador County,21103,nan,nan,nan,nan
1984,geoId/06005,Amador County,21821,nan,nan,nan,nan
1985,geoId/06005,Amador County,22659,nan,nan,nan,nan
1986,geoId/06005,Amador County,23375,nan,nan,nan,nan
