Year,geoId,County,Population,Median_Age,Unemployment,Income,Crimes
1987,geoId/06005,Amador County,24531,nan,nan,nan,nan
1988,geoId/06005,Amador County,27077,nan,nan,nan,nan
1989,geoId/06005,Amador County,28939,nan,nan,nan,nan
1990,geoId/06005,Amador County,30289,nan,5.2,nan,nan
1991,geoId/06005,Amador County,31262,nan,7,nan,nan
1992,geoId/06005,Amador County,31854,nan,9.2,nan,nan
1993,geoId/06005,Amador County,32285,nan,9.3,nan,nan
1994,geoId/06005,Amador County,32693,nan,8.2,nan,nan
1995,geoId/06005,Amador County,32976,nan,8,nan,nan
1996,geoId/06005,Amador County,33214,nan,6.8,nan,nan
1997,geoId/06005,Amador County,33423,nan,6.2,nan,nan
1998,geoId/06005,Amador County,33415,nan,5.5,nan,nan
1999,geoId/06005,Amador County,34153,nan,4.7,nan,nan
2000,geoId/06005,Amador County,35160,nan,5.1,nan,nan
2001,geoId/06005,Amador County,35708,nan,5.1,nan,nan
2002,geoId/06005,Amador County,36568,nan,5.8,nan,nan
2003,geoId/06005,Amador County,36998,nan,6.2,nan,nan
2004,geoId/06005,Amador County,37403,nan,5.8,nan,nan
2005,geoId/06005,Amador County,38040,nan,5.6,nan,nan
2006,geoId/06005,Amador County,38343,nan,5.3,nan,nan
2007,geoId/06005,Amador County,38744,nan,5.7,nan,nan
2008,geoId/06005,Amador County,38236,nan,7.7,nan,nan
2009,geoId/06005,Amador County,38226,nan,11.9,nan,nan
2010,geoId/06005,Amador County,37884,nan,14.4,nan,nan
2011,geoId/06005,Amador County,37538,48,13.8,56180,nan
2012,geoId/06005,Amador County,37101,48.4,12.5,53462,nan
2013,geoId/06005,Amador County,36625,49.1,10.4,53684,nan
2014,geoId/06005,Amador County,36738,49.6,8.4,52964,nan
2015,geoId/06005,Amador County,37037,50,6.6,54171,nan
2016,geoId/06005,Amador County,37438,50.3,6,57032,nan
2017,geoId/06005,Amador County,38551,50.6,5,60636,nan
2018,geoId/06005,Amador County,39383,50.5,4.1,61198,nan
2019,geoId/06005,Amador County,38429,50.5,3.9,62772,nan
1980,geoId/06007,Butte County,143851,nan,nan,nan,nan
1981,geoId/06007,Butte County,148451,nan,nan,nan,nan
1982,geoId/06007,Butte County,151913,nan,nan,nan,nan
1983,geoId/06007,Butte County,154263,nan,nan,nan,nan
1984,geoId/06007,Butte County,156791,nan,nan,nan,nan
1985,geoId/06007,Butte County,160680,nan,nan,nan,nan
1986,geoId/06007,Butte County,163233,nan,nan,nan,nan
1987,geoId/06007,Butte County,166970,nan,nan,nan,nan
1988,geoId/06007,Butte County,171909,nan,nan,nan,nan
1989,geoId/06007,Butte County,176583,nan,nan,nan,nan
1990,geoId/06007,Butte County,183497,nan,8.4,nan,nan
1991,geoId/06007,Butte County,186851,nan,9.9,nan,nan
1992,geoId/06007,Butte County,188905,nan,11.9,nan,nan
1993,geoId/06007,Butte County,190670,nan,12,nan,nan
1994,geoId/06007,Butte County,191811,nan,10.4,nan,nan
1995,geoId/06007,Butte County,192543,nan,9.9,nan,nan
1996,geoId/06007,Butte County,192116,nan,9.2,nan,nan
1997,geoId/06007,Butte County,193061,nan,8.7,nan,nan
1998,geoId/06007,Butte County,194347,nan,8.4,nan,nan
1999,geoId/06007,Butte County,195220,nan,6.9,nan,nan
2000,geoId/06007,Butte County,203838,nan,6.1,nan,nan
2001,geoId/06007,Butte County,206420,nan,6.6,nan,nan
2002,geoId/06007,Butte County,209521,nan,7.5,nan,nan
2003,geoId/06007,Butte County,212032,nan,7.7,nan,nan
2004,geoId/06007,Butte County,213758,nan,7.4,nan,nan
2005,geoId/06007,Butte County,215570,nan,6.7,nan,nan
2006,geoId/06007,Butte County,217746,nan,6.2,nan,nan
2007,geoId/06007,Butte County,218508,nan,6.6,nan,nan
2008,geoId/06007,Butte County,220158,nan,8.5,nan,nan
2009,geoId/06007,Butte County,220969,nan,12.8,nan,nan
2010,geoId/06007,Butte County,219945,nan,14.2,nan,nan
2011,geoId/06007,Butte County,219975,37.2,13.9,42971,nan
2012,geoId/06007,Butte County,220869,37.3,12.3,43339,nan
2013,geoId/06007,Butte County,221641,37,10.4,43752,nan
2014,geoId/06007,Butte County,223516,36.9,8.7,43165,nan
2015,geoId/06007,Butte County,224631,36.8,7.2,43444,nan
2016,geoId/06007,Butte County,226231,36.9,6.6,44366,nan
2017,geoId/06007,Butte County,228696,36.9,5.8,46516,nan
2018,geoId/06007,Butte County,230339,37.1,5.1,48443,nan
2019,geoId/06007,Butte County,219186,37.1,5.2,52537,nan
1980,geoId/06009,Calaveras County,20710,nan,nan,nan,nan
1981,geoId/06009,Calaveras County,21700,nan,nan,nan,nan
1982,geoId/06009,Calaveras County,22778,nan,nan,nan,nan
1983,geoId/06009,Calaveras County,23530,nan,nan,nan,nan
1984,geoId/06009,Calaveras County,24196,nan,nan,nan,nan
1985,geoId/06009,Calaveras County,24870,nan,nan,nan,nan
1986,geoId/06009,Calaveras County,25854,nan,nan,nan,nan
1987,geoId/06009,Calaveras County,27194,nan,nan,nan,nan
1988,geoId/06009,Calaveras County,28248,nan,nan,nan,nan
1989,geoId/06009,Calaveras County,30071,nan,nan,nan,nan
1990,geoId/06009,Calaveras County,32539,nan,6.8,nan,nan
1991,geoId/06009,Calaveras County,34030,nan,9.4,nan,nan
1992,geoId/06009,Calaveras County,35221,nan,12.1,nan,nan
1993,geoId/06009,Calaveras County,35945,nan,12.2,nan,nan
1994,geoId/06009,Calaveras County,37097,nan,11.3,nan,nan
1995,geoId/06009,Calaveras County,37729,nan,11,nan,nan
1996,geoId/06009,Calaveras County,38476,nan,9.4,nan,nan
1997,geoId/06009,Calaveras County,39144,nan,9.1,nan,nan
1998,geoId/06009,Calaveras County,39642,nan,8.8,nan,nan
1999,geoId/06009,Calaveras County,40051,nan,7,nan,nan
2000,geoId/06009,Calaveras County,40664,nan,5.5,nan,nan
2001,geoId/06009,Calaveras County,41430,nan,5.5,nan,nan
2002,geoId/06009,Calaveras County,42618,nan,6.6,nan,nan
2003,geoId/06009,Calaveras County,44108,nan,7.5,nan,nan
2004,geoId/06009,Calaveras County,44997,nan,6.8,nan,nan
2005,geoId/06009,Calaveras County,45878,nan,6.2,nan,nan
2006,geoId/06009,Calaveras County,46736,nan,5.8,nan,nan
2007,geoId/06009,Calaveras County,47069,nan,6.4,nan,nan
2008,geoId/06009,Calaveras County,47166,nan,8.7,nan,nan
2009,geoId/06009,Calaveras County,46890,nan,14.2,nan,nan
2010,geoId/06009,Calaveras County,45468,nan,14.8,nan,nan
2011,geoId/06009,Calaveras County,45160,49,14.3,55256,nan
2012,geoId/06009,Calaveras County,44821,49.5,12.6,54686,nan
2013,geoId/06009,Calaveras County,44660,50,10.1,55295,nan
2014,geoId/06009,Calaveras County,44673,50.3,8.1,54936,nan
2015,geoId/06009,Calaveras County,44957,50.7,6.4,53233,nan
2016,geoId/06009,Calaveras County,45303,51.2,5.7,53502,nan
2017,geoId/06009,Calaveras County,45642,51.6,4.8,54800,nan
2018,geoId/06009,Calaveras County,45602,52.1,4.1,58151,nan
2019,geoId/06009,Calaveras County,45514,52,3.9,63158,nan
1980,geoId/06011,Colusa County,12791,nan,nan,nan,nan
1981,geoId/06011,Colusa County,13184,nan,nan,nan,nan
1982,geoId/06011,Colusa County,13872,nan,nan,nan,nan
1983,geoId/06011,Colusa County,14109,nan,nan,nan,nan
1984,geoId/06011,Colusa County,14159,nan,nan,nan,nan
1985,geoId/06011,Colusa County,14701,nan,nan,nan,nan
1986,geoId/06011,Colusa County,14930,nan,nan,nan,nan
1987,geoId/06011,Colusa County,14972,nan,nan,nan,nan
1988,geoId/06011,Colusa County,15494,nan,nan,nan,nan
1989,geoId/06011,Colusa County,16004,nan,nan,nan,nan
1990,geoId/06011,Colusa County,16340,nan,14.2,nan,nan
1991,geoId/06011,Colusa County,16596,nan,18.1,nan,nan
1992,geoId/06011,Colusa County,16882,nan,21.7,nan,nan
1993,geoId/06011,Colusa County,17056,nan,21.7,nan,nan
1994,geoId/06011,Colusa County,17331,nan,19.2,nan,nan
1995,geoId/06011,Colusa County,17679,nan,19.7,nan,nan
1996,geoId/06011,Colusa County,18033,nan,20.1,nan,nan
1997,geoId/06011,Colusa County,18425,nan,19,nan,nan
1998,geoId/06011,Colusa County,18596,nan,20.1,nan,nan
1999,geoId/06011,Colusa County,18844,nan,16,nan,nan
2000,geoId/06011,Colusa County,18829,nan,11.4,nan,nan
2001,geoId/06011,Colusa County,19068,nan,12.9,nan,nan
2002,geoId/06011,Colusa County,19310,nan,13.9,nan,nan
2003,geoId/06011,Colusa County,19668,nan,14.5,nan,nan
2004,geoId/06011,Colusa County,20329,nan,13.7,nan,nan
2005,geoId/06011,Colusa County,20680,nan,12.7,nan,nan
2006,geoId/06011,Colusa County,21044,nan,12.2,nan,nan
2007,geoId/06011,Colusa County,21240,nan,11.6,nan,nan
2008,geoId/06011,Colusa County,21308,nan,13.9,nan,nan
2009,geoId/06011,Colusa County,21431,nan,18.3,nan,nan
2010,geoId/06011,Colusa County,21437,nan,21.3,nan,nan
2011,geoId/06011,Colusa County,21327,33.5,21.6,49558,nan
2012,geoId/06011,Colusa County,21294,33.9,21,52165,nan
2013,geoId/06011,Colusa County,21265,33.9,19.1,52158,nan
2014,geoId/06011,Colusa County,21198,34.1,17.6,50503,nan
2015,geoId/06011,Colusa County,21269,34,15.5,52168,nan
2016,geoId/06011,Colusa County,21553,34.7,15.6,54946,nan
2017,geoId/06011,Colusa County,21675,34.7,14.3,56481,nan
2018,geoId/06011,Colusa County,21627,35.1,13.3,56704,nan
2019,geoId/06011,Colusa County,21454,35.3,13,59401,nan
1980,geoId/06013,Contra Costa County,656331,nan,nan,nan,nan
1981,geoId/06013,Contra Costa County,667293,nan,nan,nan,nan
1982,geoId/06013,Contra Costa County,678903,nan,nan,nan,nan
1983,geoId/06013,Contra Costa County,690150,nan,nan,nan,nan
1984,geoId/06013,Contra Costa County,698814,nan,nan,nan,nan
1985,geoId/06013,Contra Costa County,711446,nan,nan,nan,nan
1986,geoId/06013,Contra Costa County,725367,nan,nan,nan,nan
1987,geoId/06013,Contra Costa County,739987,nan,nan,nan,nan
1988,geoId/06013,Contra Costa County,759242,nan,nan,nan,nan
1989,geoId/06013,Contra Costa County,784395,nan,nan,nan,nan
1990,geoId/06013,Contra Costa County,809199,nan,4,nan,nan
1991,geoId/06013,Contra Costa County,822332,nan,5.5,nan,nan
1992,geoId/06013,Contra Costa County,838364,nan,6.6,nan,nan
1993,geoId/06013,Contra Costa County,850732,nan,6.6,nan,nan
1994,geoId/06013,Contra Costa County,859872,nan,6.3,nan,nan
1995,geoId/06013,Contra Costa County,869437,nan,5.7,nan,nan
1996,geoId/06013,Contra Costa County,881213,nan,5,nan,nan
1997,geoId/06013,Contra Costa County,899494,nan,4.2,nan,nan
1998,geoId/06013,Contra Costa County,917970,nan,3.6,nan,nan
1999,geoId/06013,Contra Costa County,933141,nan,3.1,nan,nan
2000,geoId/06013,Contra Costa County,953124,nan,3.5,nan,nan
2001,geoId/06013,Contra Costa County,972322,nan,4.1,nan,nan
2002,geoId/06013,Contra Costa County,982242,nan,5.8,nan,nan
2003,geoId/06013,Contra Costa County,990852,nan,6.2,nan,nan
2004,geoId/06013,Contra Costa County,996658,nan,5.4,nan,nan
2005,geoId/06013,Contra Costa County,1004079,nan,4.8,nan,nan
2006,geoId/06013,Contra Costa County,1006545,nan,4.3,nan,nan
2007,geoId/06013,Contra Costa County,1015661,nan,4.6,nan,nan
2008,geoId/06013,Contra Costa County,1030584,nan,6.2,nan,nan
2009,geoId/06013,Contra Costa County,1045804,nan,10.4,nan,nan
2010,geoId/06013,Contra Costa County,1052559,nan,11.2,nan,nan
2011,geoId/06013,Contra Costa County,1065440,38.3,10.5,79135,nan
2012,geoId/06013,Contra Costa County,1077548,38.5,9.1,78187,nan
2013,geoId/06013,Contra Costa County,1093401,38.6,7.6,78756,nan
2014,geoId/06013,Contra Costa County,1108876,38.7,6.2,79799,nan
2015,geoId/06013,Contra Costa County,1124405,38.8,5.1,80185,nan
2016,geoId/06013,Contra Costa County,1137268,39.1,4.5,82881,nan
2017,geoId/06013,Contra Costa County,1145535,39.2,3.9,88456,nan
2018,geoId/06013,Contra Costa County,1150519,39.4,3.2,93712,nan
2019,geoId/06013,Contra Costa County,1153526,39.7,3.1,99716,nan
1980,geoId/06015,Del Norte County,18217,nan,nan,nan,nan
1981,geoId/06015,Del Norte County,18789,nan,nan,nan,nan
1982,geoId/06015,Del Norte County,18571,nan,nan,nan,nan
1983,geoId/06015,Del Norte County,18704,nan,nan,nan,nan
1984,geoId/06015,Del Norte County,18505,nan,nan,nan,nan
1985,geoId/06015,Del Norte County,18701,nan,nan,nan,nan
1986,geoId/06015,Del Norte County,19087,nan,nan,nan,nan
1987,geoId/06015,Del Norte County,19526,nan,nan,nan,nan
1988,geoId/06015,Del Norte County,20308,nan,nan,nan,nan
1989,geoId/06015,Del Norte County,21270,nan,nan,nan,nan
1990,geoId/06015,Del Norte County,23984,nan,12,nan,nan
1991,geoId/06015,Del Norte County,25849,nan,12.3,nan,nan
1992,geoId/06015,Del Norte County,26601,nan,15.5,nan,nan
1993,geoId/06015,Del Norte County,26833,nan,14.2,nan,nan
1994,geoId/06015,Del Norte County,27063,nan,12.2,nan,nan
1995,geoId/06015,Del Norte County,26726,nan,12.3,nan,nan
1996,geoId/06015,Del Norte County,26864,nan,10.5,nan,nan
1997,geoId/06015,Del Norte County,27186,nan,10.2,nan,nan
1998,geoId/06015,Del Norte County,27006,nan,10.3,nan,nan
1999,geoId/06015,Del Norte County,26477,nan,8.1,nan,nan
2000,geoId/06015,Del Norte County,27468,nan,7.3,nan,nan
2001,geoId/06015,Del Norte County,27388,nan,8.1,nan,nan
2002,geoId/06015,Del Norte County,27552,nan,8.8,nan,nan
2003,geoId/06015,Del Norte County,27816,nan,8.6,nan,nan
2004,geoId/06015,Del Norte County,28228,nan,8.1,nan,nan
2005,geoId/06015,Del Norte County,28625,nan,7.4,nan,nan
2006,geoId/06015,Del Norte County,28614,nan,6.9,nan,nan
2007,geoId/06015,Del Norte County,28885,nan,7.4,nan,nan
2008,geoId/06015,Del Norte County,29031,nan,8.8,nan,nan
2009,geoId/06015,Del Norte County,29204,nan,12.3,nan,nan
2010,geoId/06015,Del Norte County,28568,nan,13.5,nan,nan
2011,geoId/06015,Del Norte County,28443,38.9,13.5,37588,nan
2012,geoId/06015,Del Norte County,28190,38.8,13.7,39626,nan
2013,geoId/06015,Del Norte County,27816,39.1,12,37909,nan
2014,geoId/06015,Del Norte County,27175,39.2,10.2,39302,nan
2015,geoId/06015,Del Norte County,27190,38.8,8.6,40847,nan
2016,geoId/06015,Del Norte County,27382,38.1,7.5,42363,nan
2017,geoId/06015,Del Norte County,27351,38.7,6.5,41287,nan
2018,geoId/06015,Del Norte County,27740,38.6,5.8,45258,nan
2019,geoId/06015,Del Norte County,27812,39.5,5.9,45283,nan
1980,geoId/06017,El Dorado County,85812,nan,nan,nan,nan
1981,geoId/06017,El Dorado County,89367,nan,nan,nan,nan
1982,geoId/06017,El Dorado County,92428,nan,nan,nan,nan
1983,geoId/06017,El Dorado County,93434,nan,nan,nan,nan
1984,geoId/06017,El Dorado County,95371,nan,nan,nan,nan
1985,geoId/06017,El Dorado County,99093,nan,nan,nan,nan
1986,geoId/06017,El Dorado County,102450,nan,nan,nan,nan
1987,geoId/06017,El Dorado County,106852,nan,nan,nan,nan
1988,geoId/06017,El Dorado County,112687,nan,nan,nan,nan
1989,geoId/06017,El Dorado County,118828,nan,nan,nan,nan
1990,geoId/06017,El Dorado County,128095,nan,4.5,nan,nan
1991,geoId/06017,El Dorado County,133480,nan,6.7,nan,nan
1992,geoId/06017,El Dorado County,137444,nan,8.6,nan,nan
1993,geoId/06017,El Dorado County,141771,nan,8.7,nan,nan
1994,geoId/06017,El Dorado County,144961,nan,7.3,nan,nan
1995,geoId/06017,El Dorado County,148185,nan,6.9,nan,nan
1996,geoId/06017,El Dorado County,151257,nan,6.4,nan,nan
1997,geoId/06017,El Dorado County,154798,nan,5.5,nan,nan
1998,geoId/06017,El Dorado County,158322,nan,5,nan,nan
1999,geoId/06017,El Dorado County,161358,nan,3.9,nan,nan
2000,geoId/06017,El Dorado County,157136,nan,4.1,nan,nan
2001,geoId/06017,El Dorado County,160959,nan,4.3,nan,nan
2002,geoId/06017,El Dorado County,164919,nan,5.3,nan,nan
2003,geoId/06017,El Dorado County,167903,nan,5.6,nan,nan
2004,geoId/06017,El Dorado County,171063,nan,5.3,nan,nan
2005,geoId/06017,El Dorado County,174228,nan,4.8,nan,nan
2006,geoId/06017,El Dorado County,175782,nan,4.6,nan,nan
2007,geoId/06017,El Dorado County,176509,nan,5.1,nan,nan
2008,geoId/06017,El Dorado County,177744,nan,7,nan,nan
2009,geoId/06017,El Dorado County,178812,nan,11.3,nan,nan
2010,geoId/06017,El Dorado County,181133,nan,12.5,nan,nan
2011,geoId/06017,El Dorado County,180936,43.1,11.9,68815,nan
2012,geoId/06017,El Dorado County,180575,43.5,10.4,70117,nan
2013,geoId/06017,El Dorado County,181481,44.1,8.6,69297,nan
2014,geoId/06017,El Dorado County,183108,44.4,7.1,68507,nan
2015,geoId/06017,El Dorado County,184569,44.9,5.7,69584,nan
2016,geoId/06017,El Dorado County,185976,45.2,5.2,72586,nan
2017,geoId/06017,El Dorado County,188679,45.5,4.4,74885,nan
2018,geoId/06017,El Dorado County,190746,45.8,3.7,80582,nan
2019,geoId/06017,El Dorado County,192843,45.9,3.6,83377,nan
1980,geoId/06019,Fresno County,514621,nan,nan,nan,nan
1981,geoId/06019,Fresno County,528891,nan,nan,nan,nan
1982,geoId/06019,Fresno County,541500,nan,nan,nan,nan
1983,geoId/06019,Fresno County,555873,nan,nan,nan,nan
1984,geoId/06019,Fresno County,572091,nan,nan,nan,nan
1985,geoId/06019,Fresno County,584070,nan,nan,nan,nan
1986,geoId/06019,Fresno County,593621,nan,nan,nan,nan
1987,geoId/06019,Fresno County,608831,nan,nan,nan,nan
1988,geoId/06019,Fresno County,627658,nan,nan,nan,nan
1989,geoId/06019,Fresno County,650755,nan,nan,nan,nan
1990,geoId/06019,Fresno County,671660,nan,11.6,nan,nan
1991,geoId/06019,Fresno County,688511,nan,13.5,nan,nan
1992,geoId/06019,Fresno County,703846,nan,15.6,nan,nan
1993,geoId/06019,Fresno County,717746,nan,15.5,nan,nan
1994,geoId/06019,Fresno County,727869,nan,14.4,nan,nan
1995,geoId/06019,Fresno County,734615,nan,14,nan,nan
1996,geoId/06019,Fresno County,743479,nan,13.4,nan,nan
1997,geoId/06019,Fresno County,750640,nan,13.6,nan,nan
1998,geoId/06019,Fresno County,755051,nan,14.3,nan,nan
1999,geoId/06019,Fresno County,763069,nan,13.6,nan,nan
2000,geoId/06019,Fresno County,801331,nan,10.3,nan,nan
2001,geoId/06019,Fresno County,812921,nan,10.7,nan,nan
2002,geoId/06019,Fresno County,829437,nan,11.6,nan,nan
2003,geoId/06019,Fresno County,846562,nan,11.8,nan,nan
2004,geoId/06019,Fresno County,860046,nan,10.4,nan,nan
2005,geoId/06019,Fresno County,871036,nan,9,nan,nan
2006,geoId/06019,Fresno County,881925,nan,8,nan,nan
2007,geoId/06019,Fresno County,893667,nan,8.5,nan,nan
2008,geoId/06019,Fresno County,906881,nan,10.6,nan,nan
2009,geoId/06019,Fresno County,918151,nan,15.3,nan,nan
2010,geoId/06019,Fresno County,932063,nan,17.1,nan,nan
2011,geoId/06019,Fresno County,939406,30.6,16.8,46903,nan
2012,geoId/06019,Fresno County,945045,30.7,15.4,45741,nan
2013,geoId/06019,Fresno County,951514,30.9,13.4,45563,nan
2014,geoId/06019,Fresno County,960567,31.2,11.7,45201,nan
2015,geoId/06019,Fresno County,969488,31.4,10.3,45233,nan
2016,geoId/06019,Fresno County,976830,31.6,9.5,45963,nan
2017,geoId/06019,Fresno County,985238,31.8,8.6,48730,nan
2018,geoId/06019,Fresno County,991950,32,7.6,51261,nan
2019,geoId/06019,Fresno County,999101,32.2,7.4,53969,nan
1980,geoId/06021,Glenn County,21350,nan,nan,nan,nan
1981,geoId/06021,Glenn County,22050,nan,nan,nan,nan
1982,geoId/06021,Glenn County,22346,nan,nan,nan,nan
1983,geoId/06021,Glenn County,22873,nan,nan,nan,nan
1984,geoId/06021,Glenn County,22835,nan,nan,nan,nan
1985,geoId/06021,Glenn County,23171,nan,nan,nan,nan
1986,geoId/06021,Glenn County,23214,nan,nan,nan,nan
1987,geoId/06021,Glenn County,23318,nan,nan,nan,nan
1988,geoId/06021,Glenn County,23844,nan,nan,nan,nan
1989,geoId/06021,Glenn County,24428,nan,nan,nan,nan
1990,geoId/06021,Glenn County,24916,nan,12.4,nan,nan
1991,geoId/06021,Glenn County,25199,nan,15.9,nan,nan
1992,geoId/06021,Glenn County,25509,nan,19,nan,nan
1993,geoId/06021,Glenn County,25642,nan,17.4,nan,nan
1994,geoId/06021,Glenn County,25783,nan,16.3,nan,nan
1995,geoId/06021,Glenn County,26008,nan,15.5,nan,nan
1996,geoId/06021,Glenn County,26111,nan,15.4,nan,nan
1997,geoId/06021,Glenn County,26214,nan,13.5,nan,nan
1998,geoId/06021,Glenn County,26176,nan,13.4,nan,nan
1999,geoId/06021,Glenn County,26328,nan,11.3,nan,nan
2000,geoId/06021,Glenn County,26426,nan,8.4,nan,nan
2001,geoId/06021,Glenn County,26495,nan,8.8,nan,nan
2002,geoId/06021,Glenn County,26727,nan,9.7,nan,nan
2003,geoId/06021,Glenn County,27118,nan,10.3,nan,nan
2004,geoId/06021,Glenn County,27249,nan,9.3,nan,nan
2005,geoId/06021,Glenn County,27539,nan,8.4,nan,nan
2006,geoId/06021,Glenn County,27810,nan,8,nan,nan
2007,geoId/06021,Glenn County,27950,nan,8.7,nan,nan
2008,geoId/06021,Glenn County,28205,nan,10.5,nan,nan
2009,geoId/06021,Glenn County,28293,nan,14.7,nan,nan
2010,geoId/06021,Glenn County,28126,nan,15.8,nan,nan
2011,geoId/06021,Glenn County,28144,35.3,15.8,43239,nan
